"sitio","estructura","est_arsat","tipo_edt","localidad","provincia","potencia_s","altura_snm","longitud","latitud"
"Arrecifes","FIJA","OPERATIVA","B","Arrecifes","Buenos Aires",1,71.2,-60.0717,-34.0642
"Azul","FIJA","OPERATIVA","A","Azul","Buenos Aires",1,121.9,-59.8795,-36.7319
"Campana","FIJA","OPERATIVA","A","Campana","Buenos Aires",1,150.75,-58.9602,-34.2374
"Chapadmalal","FIJA","FASE III","A","Chapadmalal","Buenos Aires",1,148.9,-57.6834,-38.1952
"ChascomÃºs","FIJA","OPERATIVA","A","ChascomÃºs","Buenos Aires",1,149.2,-57.9658,-35.5866
"Coronel Brandsen","FIJA","OPERATIVA","A","Coronel Brandsen","Buenos Aires",1,150.75,-58.2455,-35.1194
"Coronel Suarez","FIJA","OPERATIVA","A","Coronel Suarez","Buenos Aires",1,148.9,-61.9386,-37.4996
"Coronel Vidal","FIJA","FASE III","A","Coronel Vidal","Buenos Aires",1,149.2,-57.7336,-37.4269
"Dolores","FIJA","OPERATIVA","A","Dolores","Buenos Aires",1,150.75,-57.6855,-36.2719
"Florencio Varela","FIJA","FASE III","Diferencial","Florencio Varela","Buenos Aires",6.25,254.85,-58.2025,-34.8394
"LujÃ¡n","FIJA","OPERATIVA","A","LujÃ¡n","Buenos Aires",1,150.75,-59.1517,-34.5494
"MaipÃº","FIJA","FASE III","A","MaipÃº","Buenos Aires",1,149.2,-57.8651,-36.8481
"Mar de AjÃ³","FIJA","EN OBRA","A","Mar de AjÃ³","Buenos Aires",1,148.9,-56.7486,-36.7237
"Mar del Plata","FIJA","OPERATIVA","A","Mar del Plata","Buenos Aires",1,126.75,-57.5304,-37.8878
"Navarro","FIJA","OPERATIVA","A","Navarro","Buenos Aires",1,150.75,-59.2986,-34.9776
"OlavarrÃ­a","FIJA","OPERATIVA","A","OlavarrÃ­a","Buenos Aires",1,149.2,-60.3627,-36.8783
"Pinamar","FIJA","OPERATIVA","A","Pinamar","Buenos Aires",1,150.75,-56.8967,-37.1176
"San Miguel del Monte","FIJA","OPERATIVA","A","San Miguel del Monte","Buenos Aires",1,148.9,-58.795,-35.4308
"San NicolÃ¡s","FIJA","OPERATIVA","A","San NicolÃ¡s de los Arroyos","Buenos Aires",1,102.75,-60.2009,-33.3389
"Tandil","FIJA","FASE III","B","Tandil","Buenos Aires",1,64.9,-59.063,-37.2734
"Trenque Lauquen","FIJA","OPERATIVA","A","Trenque Lauquen","Buenos Aires",1,149.2,-62.7349,-35.9144
"Vedia","FIJA","OPERATIVA","C","Vedia","Buenos Aires",0.5,40.9,-61.5585,-34.498
"Villa Martelli","FIJA","OPERATIVA","A","Vicente LÃ³pez","Buenos Aires",1,170,-58.5122,-34.5616
"Guerrero","FIJA","FASE III","A","Guerrero","Buenos Aires",1,149.2,-57.8644,-35.938
"La Matanza","FIJA","OPERATIVA","B","La Matanza","Buenos Aires",1,70.9,-58.5678,-34.6631
"La Plata","FIJA","OPERATIVA","A","La Plata","Buenos Aires",1,150.75,-57.9747,-34.9426
"Las Flores","FIJA","OPERATIVA","A","Las Flores","Buenos Aires",1,149.2,-59.0758,-36.0264
"Lincoln","FIJA","FASE III","D+","Lincoln","Buenos Aires",0.3,70.44,-61.5056,-34.8604
"Los Toldos","FIJA","OPERATIVA","C","Los Toldos","Buenos Aires",0.5,40.9,-61.0022,-35.02
"9 de Julio","FIJA","FASE III","D+","9 de Julio","Buenos Aires",0.3,70.44,-60.8667,-35.45
"CaÃ±uelas","FIJA","OPERATIVA","A","CaÃ±uelas","Buenos Aires",1,150.75,-58.7327,-35.0254
"Balcarce","FIJA","OPERATIVA","A","Balcarce","Buenos Aires",1,148.9,-58.2302,-37.8169
"Bahia Blanca","UTT","OPERATIVA","A","Bahia Blanca","Buenos Aires",0.3,148.9,-62.29921,-38.696961
"Vieytes","FIJA","EN OBRA","A","Vieytes","Buenos Aires",1,148.9,-57.5656,-35.2686
"San Carlos de Bolivar","FIJA","OPERATIVA","D+","San Carlos de Bolivar","Buenos Aires",0.3,70.44,-61.115944,-36.217769
"Necochea","UTT","OPERATIVA","A","Necochea","Buenos Aires",0.3,148.9,-58.718654,-38.576127
"CÃ³rdoba Capital - Cerro Mogote","FIJA","OPERATIVA","B","CÃ³rdoba","CÃ³rdoba",1,54.75,-64.4267,-31.4142
"Baradero","FIJA","OPERATIVA","A","Baradero","Buenos Aires",1,150.75,-59.537,-33.7843
"San Antonio de Areco","FIJA","OPERATIVA","A","San Antonio de Areco","Buenos Aires",1,148.9,-59.4429,-34.2628
"ConcepciÃ³n del Uruguay","FIJA","FASE III","C","ConcepciÃ³n del Uruguay","Entre Rios",0.5,40.9,-58.2356,-32.4617
"GualeguaychÃº","FIJA","OPERATIVA","A","GualeguaychÃº","Entre Rios",1,77.2,-58.54,-33.0508
